status,nome,cargo,equipe,lattes,linkedin,pag. depto,foto
ativo,Silvio Hamacher,"Prof. Titular do depart. DEI, Gerente de projetos Instituto Tecgraf  e Coordenador do NOIS",Coordenação,http://lattes.cnpq.br/7644241125976321,https://www.linkedin.com/in/silvio-hamacher-94101772/,https://www.ind.puc-rio.br/equipe/silvio-hamacher/,hamacher.png
ativo,Amanda de Araujo Batista da Silva  ,Prof.ª Titulardo depart. DEI e Coordenadora do NOIS,Coordenação, http://lattes.cnpq.br/7901357875433242,,https://www.ind.puc-rio.br/equipe/amanda-de-araujo-batista-da-silva/,amanda.png
ativo,Leonardo Bastos ,Prof. Titular do depart. DEI e Coordenador do NOIS,Coordenação, http://lattes.cnpq.br/3058855079996406,,https://www.ind.puc-rio.br/equipe/leonardo-bastos/,leonardo.png
ativo,Igor Tona Peres,Prof. Titular do depart. DEI e Coordenador do NOIS,Coordenação,http://lattes.cnpq.br/3920767393039395,,https://www.ind.puc-rio.br/equipe/igor-tona-peres/,igor.png
ativo,Fernando Bozza,,,,,,
ativo,Fernanda Baiao,,,,,,
ativo,Paula Maçaira,,,,,,
ativo,Otavio Ranzani ,,,,,,
ativo,José Cerbino Neto,,,,,,
ativo,Lsoraida Aguilar,,,,,,
ativo,Horácio Nelson H. Filho,,,,,,
ativo,Olivia Ranzani,,,,,,
ativo,Bianca Antunes,,,,,,
ativo,Lucas Maddalena,,,,,,
ativo,Jéssica Villar,,,,,,
ativo,Paulo Henrique Simões ,,,,,,
ativo,Daniela Magalhães,,,,,,
ativo,Mariana Lisker,,,,,,
ativo,Leticia Melcop,,,,,,
ativo,Julia Pareto,,,,,,
ativo,Janaína Marchesi,,,,,,
ativo,Marcelo Prado,,,,,,
ativo,Leila Dantas,,,,,,
ativo,Rogério Emygdio,,,,,,
inativo,Usuário de Teste,Prof. Titular do depart. DEI,,,,,
